No.,Data perangkat,Unit,Merk,Tipe,S/N,Lokasi,Data Pemeliharaan,IP
1,PC,2,Dell,,,lt.2 meja Pak Dwi,,
2,Asus PC Mini,1,Asus,,,lt.2 meja Pak Dwi,,
3,Bagtag Printer,1,Epson,TM-88IV,,lt.2 meja Pak Dwi,,
4,Bagtag Printer,1,Epson,TM-L500A,,lt.2 meja Pak Dwi,,
5,LCD,1,View Sonic,,,lt.2 meja Pak Dwi,,
6,PC,2,Dell,,,lt.2 meja Pak Indra,,
7,LCD,3,Samsung,,,lt.2 meja Pak Indra,,
8,Bagtag Printer,1,Epson,TM-L500A,,lt.2 meja Pak Indra,,
9,Bagtag Printer,2,Epson,TM-L500A,,lt.2 meja Pak Indra,,
10,UPS 220V,1,Pascal,PA-1700,,lt.2 meja Pak Indra,,
11,Scanner Barcode,1,,,,lt.2 meja Pak Indra,,
12,PC,1,Lenovo,,,lt.2 meja Adi,,
13,PC,2,rakitan,,,lt.2 meja Adi,,
14,LCD,1,Lenovo,,,lt.2 meja Adi,,
15,LCD,1,Prolink,,,lt.2 meja Adi,,
16,Printer,1,Epson,TM-88IV,,lt.2 meja Adi,,
17,Scanner Barcode,2,Access,,,lt.2 meja Adi,,
18,PC,1,rakitan,,,lt.2 meja pak hasan,,
19,LCD,1,IBM,,,lt.2 meja pak hasan,,
20,PC,1,Dell,,,lt.2 meja Bu santi,,
21,LCD,1,Dell,,,lt.2 meja Bu santi,,
22,PC,2,Dell,,,lt.2 meja Bambang,,
23,PC,1,rakitan,,,lt.2 meja Bambang,,
24,LCD,1,Dell,,,lt.2 meja Bambang,,
25,LCD 7”,1,,,,lt.2 meja Bambang,,
26,Printer,1,Zebra,GC420D,,lt.2 meja Bambang,,
27,Printer,1,Zebra,S4M,,lt.2 meja Bambang,,
28,Printer,1,Zebra,GC420,,lt.2 meja Bambang,,
29,Scanner Desko,1,,,,lt.2 meja Bambang,,
30,Scanner Syscan,1,,,,lt.2 meja Bambang,,
31,PC,1,Dell,,,lt.2 meja Tono,,
32,PC,2,rakitan,,,lt.2 meja Tono,,
33,LCD,1,Samsung,,,lt.2 meja Tono,,
34,PC,1,rakitan,,,lt.2 meja Bu Darni,,
35,PC,2,rakitan,,,pajak,,
36,PC,1,IBM,ThinkPad,,pajak,,
37,Printer,1,Epson,LX-310,,lt.2 meja Bu Darni,,
38,Fotocopy,1,Hp,,,lt.2 meja Bu Darni,,
39,Printer,1,Hp,,,lt.2 meja Bu Darni,,
40,Printer,1,Xerox Fujitsu,,,lt.2 meja Bu Darni,,
41,Fax,1,,,,lt.2 meja Bu Darni,,
42,Mesin Ketik,1,,,,lt.2 meja Bu Darni,,
43,PC,1,Asus,,,lt.3 meja Diki,,
44,LCD,1,Lenovo,,,lt.3 meja Diki,,
45,UPS 220V,1,Pascal,PA-1700,,lt.3 meja Diki,,
46,PC,1,rakitan,,,lt.3 meja Defri,,
47,LCD,1,Samsung,,,lt.3 meja Defri,,
48,PC,1,Lenovo,,,LT.3 meja Herman,,
49,LCD,1,View Sonic,,,LT.3 meja Herman,,
50,PC,1,rakitan,,,LT.3 meja Supri,,
51,LCD,1,Lenovo,,,LT.3 meja Supri,,
52,PC,1,rakitan,,,lt.3 meja Sarah,,
53,LCD,1,Lenovo,,,lt.3 meja Sarah,,
54,AC,2,,,,LT.1,,
55,AC,3,,,,LT.2,,
56,AC,2,,,,LT.3,,
57,AC,1,,,,LT.4,,
